DEPTH,GR,RLA1,RLA2,RLA3,RLA4,RLA5,RT_HRLT,RHOB,TNPH,Vsh,Sw,Por,LogRt,LogPhiT,LogSwT
3039.4,113.6727,,,,,,,2.2874,0.2356,0.5491,0.5852,0.2105,1.634832717,-1.558269626,-0.53580161
3039.4656,42.1482,297.5415,301.4464,328.2211,430.4319,466.5109,648.0036,2.0859,0.0867,0.0231,0.0601,0.2479,6.473896252,-0.605723473,-1.221125528
3039.5,121.843,,,,,,,2.3177,0.2425,0.6091,0.5656,0.1911,1.863273604,-1.654958428,-0.569868164
3039.6,129.1324,,,,,,,2.3557,0.2429,0.6627,0.5149,0.1672,2.286984027,-1.788564578,-0.663782572
3039.618,41.8913,297.2878,298.5928,330.3596,403.3189,464.4587,625.9254,2.0752,0.0852,0.0213,0.0636,0.2511,6.439231195,-0.600153287,-1.196542884
3039.7,128.2463,,,,,,,2.3856,0.2224,0.6562,0.5356,0.1492,2.395729292,-1.902467591,-0.624367665
3039.7704,41.3025,293.8918,263.875,314.7903,352.5001,429.1111,573.4114,2.0737,0.0869,0.0169,0.0646,0.2501,6.351603435,-0.601886308,-1.189767482
3039.8,122.4906,,,,,,,2.4022,0.1961,0.6139,0.5693,0.1398,2.385730674,-1.967542449,-0.563347743
3039.9,109.4212,,,,,,,2.3912,0.1663,0.5178,0.603,0.1481,2.196446497,-1.909867558,-0.505838082
3039.9228,42.5319,292.7088,267.5066,315.3086,339.985,427.0106,556.0156,2.082,0.083,0.026,0.0682,0.2462,6.320796351,-0.608711951,-1.166215625
3040,94.7554,,,,,,,2.3428,0.1517,0.41,0.5023,0.1776,2.320876775,-1.728221448,-0.688557728
3040.0752,48.4302,241.5374,196.6561,225.3507,239.4847,302.0922,385.17,2.1007,0.0829,0.0693,0.081,0.2375,5.953684795,-0.624336386,-1.091514981
3040.1,80.292,,,,,,,2.2869,0.1375,0.3036,0.4239,0.1967,2.528628436,-1.626075554,-0.858257701
3040.2,67.8724,,,,,,,2.2414,0.1106,0.2123,0.3645,0.2116,2.751128847,-1.553057579,-1.009228728
3040.2276,51.8726,245.4457,206.4049,237.8886,249.0347,317.5033,402.3782,2.1252,0.0816,0.0947,0.0759,0.2292,5.997392442,-0.639785387,-1.119758224
3040.3,61.4128,,,,,,,2.2071,0.1091,0.1648,0.332,0.2244,2.864438376,-1.494325105,-1.10262031
3040.38,50.8891,255.8849,223.0745,244.171,255.6646,325.6909,401.3844,2.1495,0.0863,0.0874,0.0808,0.2214,5.994919572,-0.654822383,-1.092588639
3040.4,57.8577,,,,,,,2.1865,0.1165,0.1387,0.3184,0.2328,2.898576892,-1.457575563,-1.144446825
3040.5,56.8316,,,,,,,2.2041,0.1208,0.1311,0.3478,0.2286,2.745789048,-1.475781528,-1.056127677
3040.5324,46.3425,301.0341,312.23,326.4821,349.6325,455.8256,560.6289,2.1708,0.0783,0.054,0.0684,0.2175,6.329059189,-0.662540739,-1.164943898
3040.6,56.2113,,,,,,,2.2124,0.1272,0.1266,0.3606,0.2264,2.687677411,-1.485451933,-1.019985968
3040.6848,45.7278,293.7191,270.2373,305.1897,330.3735,438.6924,566.0785,2.1813,0.0777,0.0495,0.0784,0.2158,6.338732761,-0.66594856,-1.105683937
3040.7,55.6448,,,,,,,2.2111,0.1335,0.1224,0.3598,0.227,2.68890136,-1.482805262,-1.022206957
3040.8,54.2939,,,,,,,2.1811,0.1336,0.1125,0.3394,0.2392,2.722386937,-1.430455257,-1.080575926
3040.8372,45.6048,250.6574,206.2145,221.5502,246.9134,333.9299,410.169,2.1831,0.0775,0.0486,0.0916,0.2172,6.01656927,-0.663140179,-1.038104526
3040.9,54.0816,,,,,,,2.146,0.1332,0.1109,0.3185,0.2535,2.751588503,-1.372391456,-1.144132804
3040.9896,44.8675,196.7291,129.5899,143.0004,160.8166,217.7415,191.4436,2.1741,0.0799,0.0431,0.1189,0.2209,5.254593248,-0.655804284,-0.924818145
3041,54.7675,,,,,,,2.1145,0.1323,0.1159,0.3012,0.2662,2.779049059,-1.323507373,-1.199980783
